notriad;no_order;emotion;FINAL
1;1;5;6.3702
1;1;5;11.7672
1;1;5;13.0753
1;1;5;3.7855
1;1;5;2.7926
1;1;5;8.9734
1;1;5;15.5184
1;1;5;4.0155
1;1;5;2.6328
1;1;5;11.3088
1;1;5;14.7955
1;1;5;7.9040
1;1;5;12.3420
1;1;5;12.8061
1;1;5;2.1028
1;1;5;8.6740
1;1;5;1.6740
1;1;5;1.5515
1;1;5;14.7469
1;1;5;8.8146
1;1;5;2.7855
1;1;5;7.2388
1;1;5;9.3847
1;1;5;14.0596
1;1;5;8.8371
1;1;5;3.8322
1;1;5;3.9333
1;1;5;1.3131
1;1;5;2.4722
1;1;5;9.7221
1;1;5;7.9588
1;1;5;12.0143
1;1;5;13.3189
1;1;5;6.2441
1;1;5;3.8037
1;1;5;9.0601
1;1;5;7.9392
1;1;5;5.7132
1;1;5;10.4217
1;1;5;6.4229
1;1;5;6.6086
1;1;5;1.7963
1;1;5;4.5006
1;1;5;4.6192
1;1;5;6.1333
1;1;5;5.0603
1;1;5;8.3838
1;1;5;9.6809
1;1;5;6.5627
1;1;5;2.0654
1;1;5;5.5666
1;1;5;10.9051
1;1;5;6.3270
1;1;5;9.3997
1;1;5;10.2370
1;1;5;8.1646
1;1;5;2.3346
1;1;5;5.5499
1;1;5;6.6311
1;1;5;5.0560
1;1;5;8.8338
1;1;5;7.7906
1;1;5;8.6527
1;1;5;9.5286
1;1;5;5.7162
1;1;5;5.1576
1;1;6;3.7459
1;1;6;2.4810
1;1;6;5.9767
1;1;6;13.3922
1;1;6;10.0934
1;1;6;15.6665
1;1;6;2.9315
1;1;6;3.5849
1;1;6;3.4456
1;1;6;13.0718
1;1;6;6.5847
1;1;6;10.3306
1;1;6;4.4218
1;1;6;19.8769
1;1;6;6.8562
1;1;6;4.0418
1;1;6;2.2649
1;1;6;6.3217
1;1;6;10.9423
1;1;6;5.2568
1;1;6;10.6265
1;1;6;4.7911
1;1;6;1.2356
1;1;6;7.0272
1;1;6;8.8785
1;1;6;4.5196
1;1;6;11.3758
1;1;6;2.9568
1;1;6;8.1031
1;1;6;6.3472
1;1;6;10.1350
1;1;6;5.9757
1;1;6;7.4696
1;1;6;13.9012
1;1;6;8.3133
1;1;6;5.3867
1;1;6;17.3433
1;1;6;13.7139
1;1;6;19.6024
1;1;6;4.7456
1;1;6;17.0705
1;1;6;23.9267
1;1;6;13.9258
1;1;6;12.6004
1;1;6;10.0255
1;1;6;7.7830
1;1;6;4.1503
1;1;6;10.0329
1;1;6;6.5981
1;1;6;7.5091
1;1;6;14.3653
1;1;6;4.3513
1;1;6;3.0918
1;1;6;5.3707
1;1;6;9.7127
1;1;6;3.8024
1;1;6;7.5466
1;1;6;1.6047
1;1;6;17.1662
1;1;6;4.0974
1;1;6;3.1518
1;1;6;7.8425
1;1;6;8.5918
1;1;6;11.5147
1;1;6;21.1427
1;1;6;11.5813
1;1;6;8.0242
1;1;6;4.4298
1;1;6;10.2329
1;1;6;8.6791
1;1;6;7.7527
1;1;6;14.6089
1;1;6;3.9824
1;1;6;3.6683
1;1;6;7.8676
1;1;6;10.9403
1;1;6;2.6348
1;1;6;11.8249
1;1;6;4.3862
1;1;6;0.7341
1;1;6;6.6341
1;1;6;9.5360
1;1;6;4.1147
1;1;6;10.9709
1;1;6;2.4008
1;1;6;0.7713
1;1;6;6.0655
1;1;6;13.0685
1;1;6;3.4385
1;1;6;8.1869
1;1;6;3.7771
1;1;6;3.7151
1;1;6;3.5808
1;1;6;5.9248
1;1;6;12.4455
1;1;6;6.2947
1;1;6;9.9814
1;1;6;1.5687
1;1;6;4.4522
1;1;6;9.8389
1;1;6;15.3018
1;1;6;5.8474
1;1;6;7.1587
1;1;6;4.7390
1;1;6;3.8141
2;2;1;20.1042
2;2;1;18.0596
2;2;1;2.1892
2;2;1;2.2337
2;2;1;17.8705
2;2;1;15.8260
2;2;1;26.7299
2;2;1;6.6257
2;2;1;8.6730
2;2;1;24.4963
2;2;1;26.0086
2;2;1;5.9178
2;2;1;8.0577
2;2;1;23.7749
2;2;1;1.8716
2;2;1;1.6402
2;2;1;20.6701
2;2;1;18.6256
2;2;1;2.7996
2;2;1;27.2958
2;2;1;26.5745
2;2;1;23.3787
2;2;1;3.2746
2;2;1;5.3230
2;2;1;21.1451
2;2;1;3.3589
2;2;1;3.2456
2;2;1;23.9447
2;2;1;28.1404
2;2;1;8.0362
2;2;1;10.1215
2;2;1;25.9067
2;2;1;1.6730
2;2;1;2.1459
2;2;1;28.7063
2;2;1;4.8132
2;2;1;4.9370
2;2;1;15.1680
2;2;1;13.1235
2;2;1;2.9064
2;2;1;21.7938
2;2;1;21.0725
2;2;1;5.5488
2;2;1;18.4426
2;2;1;23.2043
2;2;1;15.0139
2;2;1;5.1827
2;2;1;3.0655
2;2;1;12.7802
2;2;1;11.7161
2;2;1;11.0389
2;2;1;15.5798
2;2;1;8.3649
2;2;1;13.1266
2;2;1;10.0783
2;2;1;20.2074
2;2;1;0.7343
2;2;1;2.2114
2;2;1;17.9737
2;2;1;6.5225
2;2;1;5.8690
2;2;1;20.7733
2;2;1;3.1713
2;2;1;7.9562
2;2;1;15.2712
2;2;1;5.2451
2;2;1;5.6449
2;2;1;14.4593
2;2;1;12.4147
2;2;1;3.4120
2;2;1;21.0850
2;2;1;20.3637
2;2;1;6.2108
2;2;1;17.7338
2;2;1;22.4955
2;2;1;2.1164
2;2;1;9.3690
2;2;1;14.5625
2;2;1;25.8016
2;2;1;5.8233
2;2;1;7.7791
2;2;1;23.5680
2;2;1;1.5353
2;2;1;3.0478
2;2;1;26.3676
2;2;1;3.0555
2;2;1;2.6882
2;2;1;20.8655
2;2;1;10.7878
2;2;1;5.6487
2;2;1;20.1567
2;2;1;22.4526
2;2;1;2.3609
2;2;1;4.4988
2;2;1;20.2190
2;2;1;4.2773
2;2;1;3.5656
2;2;1;23.0185
2;2;1;1.5514
